Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
C14-carnitine;C14-carnitine;C14-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,03;0,02;1,5;0,805;–;–;ROC analysis;–;0,52;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;1;;
C14-carnitine;C14-carnitine;C14-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,04;0,02;2;0,001;–;–;ROC analysis;–;0,761;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;2;;
C6-carnitine;C6-carnitine;C6-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,05;0,04;1,25;0,728;–;–;ROC analysis;–;0,471;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;3;;
C8-carnitine;C8-carnitine;C8-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,06;0,06;1;0,382;–;–;ROC analysis;–;0,425;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;4;;
C6-carnitine;C6-carnitine;C6-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,06;0,04;1,5;0,291;–;–;ROC analysis;–;0,444;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;5;;
C8-carnitine;C8-carnitine;C8-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,06;0,05;1,2;0,003;–;–;ROC analysis;–;0,34;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;6;;
C5-carnitine;C5-carnitine;C5-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,09;0,12;0,75;0,018;–;–;ROC analysis;–;0,285;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;7;;
4OHE2;4OHE2;4OHE2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,1;0,12;0,8333333333;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;8;;
4OHE2;4OHE2;4OHE2;–;–;–;–;–;–;–;–;–;–;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;Triple Quadrupole;MS/MS;Xcalibur;–;–;–;0,16;0,31;0,5161290323;–;–;–;–;–;–;–;–;–;–;–;–;–;–;US;Y;–;29290988;Peng et al. 2017;9;;
C5-carnitine;C5-carnitine;C5-carnitine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;0,18;0,09;2;0,001;–;–;ROC analysis;–;0,818;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;10;;
