country;Pubmed ID;authors;Comparative study;participants (Cancer/ Control);material (source);function;Participants (cancer type);stage;number;gender (M / F);age mean (range) (M / F);smoking status;Participants (control);number.1;gender (M / F).1;age mean (range) (M / F).;smoking status.1;chromatography;ion source;positive/ negative mode;mass analyzer;Identification level;data processing software;database search;statistical difference method;classification method;survival analysis method;year;id
Japan;21411176; Hori et al. 2011;#1;adenocarcinoma + squamous cell carcinoma + small cell lung carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, SCLC;I, II, III, IV;33;26, 7;median: 65 (55-81);smoker, non-smoker, unknown;healthy;29;23, 6;median: 64 (34-78);smoker, non-smoker, unknown;GC;–;–;–;–;Shimadzu GCMSsolution software;commercially available GC/MS Metabolite Mass Spectral Database (Shimadzu Co.), NIST Mass Spectral Library (NIST 08);student’s t-test, PLS-DA;–;–;2011;1
Japan;21411176; Hori et al. 2011;#2;adenocarcinoma + squamous cell carcinoma + small cell lung carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, SCLC;I, II;11;–;–;–;healthy;29;23, 6;median: 64 (34-78);smoker, non-smoker, unknown;GC;–;–;–;–;Shimadzu GCMSsolution software;commercially available GC/MS Metabolite Mass Spectral Database (Shimadzu Co.), NIST Mass Spectral Library (NIST 08);student’s t-test, PLS-DA;–;–;2011;2
Japan;21411176; Hori et al. 2011;#3;adenocarcinoma + squamous cell carcinoma + small cell lung carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma, SCLC;III, IV;22;–;–;–;healthy;29;23, 6;median: 64 (34-78);smoker, non-smoker, unknown;GC;–;–;–;–;Shimadzu GCMSsolution software;commercially available GC/MS Metabolite Mass Spectral Database (Shimadzu Co.), NIST Mass Spectral Library (NIST 08);student’s t-test, PLS-DA;–;–;2011;3
Japan;21411176; Hori et al. 2011;#4;adenocarcinoma + squamous cell carcinoma + small cell lung carcinoma (tumor tissue) vs. adenocarcinoma + squamous cell carcinoma + small cell lung carcinoma (normal tissue);tissue;diagnosis;adenocarcinoma, squamous cell carcinoma, SCLC;–;7;6, 1;median: 61 (53-82);smoker, non-smoker;tumor vs. adjacent normal tissue;7;6, 1;median: 61 (53-82);smoker, non-smoker;GC;–;–;–;–;Shimadzu GCMSsolution software;commercially available GC/MS Metabolite Mass Spectral Database (Shimadzu Co.), NIST Mass Spectral Library (NIST 08);student’s t-test, PLS-DA;–;–;2011;4
US;23749868;Alberg et al. 2013;#1;lung cancer vs. healthy;plasma;prediagnosis;lung cancer;–;100;54, 46;63,9;former, current, non-smoker;healthy;200;108, 92;63,7;former, current, non-smoker;LC;ESI;–;–;MS/MS;–;–;–;–;–;2013;5
China;20560663;An et al. 2010;#1;squamous cell carcinoma + adenocarcinoma + small cell carcinoma vs. healthy;urine;diagnosis;squamous cell carcinoma, adenocarcinoma, SCLC;–;19;–;61 ± 8.4;–;healthy;22;–;–;–;LC;ESI;positive;Q-TOF;MS/MS;MZmine 2 beta;HMDB, PubChem compound database, METLIN, KEGG ;independent t-test;–;–;2010;6
China;20560663;An et al. 2010;#2;squamous cell carcinoma + adenocarcinoma + small cell carcinoma vs. healthy;urine;diagnosis;squamous cell carcinoma, adenocarcinoma, SCLC;–;19;–;61 ± 8.4;–;healthy;22;–;–;–;LC;APCI;positive;Q-TOF;MS/MS;MZmine 2 beta;HMDB, PubChem compound database, METLIN, KEGG ;independent t-test;–;–;2010;7
China;20560663;An et al. 2010;#3;squamous cell carcinoma + adenocarcinoma + small cell carcinoma vs. healthy;urine;diagnosis;squamous cell carcinoma, adenocarcinoma, SCLC;–;19;–;61 ± 8.4;–;healthy;22;–;–;–;LC;APPI;positive;Q-TOF;MS/MS;MZmine 2 beta;HMDB, PubChem compound database, METLIN, KEGG ;independent t-test;–;–;2010;8
Spain;27255828;Callejon-Leblic et al. 2016;#1;lung cancer vs. other pulmonary patients (non-cancer);bronchoalveolar lavage fluid ;diagnosis;lung cancer;–;24;16, 8;66 ± 11;–;noncancerous lung diseases;31;23, 8;56 ± 13;–;DI;ESI;positive;Q-TOF;MS/MS;Markerview;HMDB, METLIN;PLS-LDA, one-way ANOVA;ROC curve analysis ;–;2016;9
Spain;27255828;Callejon-Leblic et al. 2016;#2;lung cancer vs. other pulmonary patients (non-cancer);bronchoalveolar lavage fluid ;diagnosis;lung cancer;–;24;16, 8;66 ± 11;–;noncancerous lung diseases;31;23, 8;56 ± 13;–;GC;EI;–;ion trap;–;XCMS;NIST Mass Spectral Library;PLS-LDA, one-way ANOVA;ROC curve analysis ;–;2016;10
